Site;night;active.night
P11;27.07.2020;TRUE
P11;28.07.2020;TRUE
P11;29.07.2020;TRUE
P11;30.07.2020;TRUE
P11;31.07.2020;TRUE
P11;01.08.2020;TRUE
P11;02.08.2020;TRUE
P11;03.08.2020;TRUE
P11;04.08.2020;TRUE
P11;10.08.2020;TRUE
P11;11.08.2020;TRUE
P11;12.08.2020;TRUE
P11;13.08.2020;TRUE
P11;14.08.2020;TRUE
P11;15.08.2020;TRUE
P11;16.08.2020;TRUE
P11;17.08.2020;TRUE
P11;18.08.2020;TRUE
P11;19.08.2020;TRUE
P11;20.08.2020;TRUE
P11;21.08.2020;TRUE
P11;22.08.2020;TRUE
P11;23.08.2020;TRUE
P11;24.08.2020;TRUE
P11;25.08.2020;TRUE
P11;26.08.2020;TRUE
P11;27.08.2020;TRUE
P11;28.08.2020;TRUE
P11;29.08.2020;TRUE
P11;09.09.2020;TRUE
P11;10.09.2020;TRUE
P11;11.09.2020;TRUE
P11;12.09.2020;TRUE
P11;13.09.2020;TRUE
P11;14.09.2020;TRUE
P11;15.09.2020;TRUE
P11;16.09.2020;TRUE
P11;17.09.2020;TRUE
P11;18.09.2020;TRUE
P11;19.09.2020;TRUE
P11;20.09.2020;TRUE
P11;21.09.2020;TRUE
P11;22.09.2020;TRUE
P11;23.09.2020;TRUE
P11;24.09.2020;TRUE
P11;25.09.2020;TRUE
P11;26.09.2020;TRUE
P11;27.09.2020;TRUE
P11;28.09.2020;TRUE
P14;12.07.2020;TRUE
P14;13.07.2020;TRUE
P14;14.07.2020;TRUE
P14;15.07.2020;TRUE
P14;16.07.2020;TRUE
P14;17.07.2020;TRUE
P14;18.07.2020;TRUE
P14;19.07.2020;TRUE
P14;20.07.2020;TRUE
P14;21.07.2020;TRUE
P14;22.07.2020;TRUE
P14;23.07.2020;TRUE
P14;24.07.2020;TRUE
P14;25.07.2020;TRUE
P14;26.07.2020;TRUE
P14;27.07.2020;TRUE
P14;28.07.2020;TRUE
P14;29.07.2020;TRUE
P14;30.07.2020;TRUE
P14;31.07.2020;TRUE
P14;10.08.2020;TRUE
P14;11.08.2020;TRUE
P14;12.08.2020;TRUE
P14;13.08.2020;TRUE
P14;14.08.2020;TRUE
P14;15.08.2020;TRUE
P14;16.08.2020;TRUE
P14;17.08.2020;TRUE
P14;18.08.2020;TRUE
P14;19.08.2020;TRUE
P14;20.08.2020;TRUE
P14;21.08.2020;TRUE
